Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;Is_subvariant_of;Sample_size;Variant_cases
4;2024-08-14 06:45:34;2020-11-30;Recombinants;Recombinants;;;;75;0
4;2024-08-14 06:45:34;2020-11-30;B.1.1.529;Omicron;;;;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.2.75;Omicron;VOI;;BA.2;75;0
4;2024-08-14 06:45:34;2020-11-30;XBB.1.5;Omicron;VOI;VOI;XBB;75;0
4;2024-08-14 06:45:34;2020-11-30;EG.5;Omicron;VOI;VOI;XBB.1.9;75;0
4;2024-08-14 06:45:34;2020-11-30;XBB.1.16;Omicron;VUM;VOI;XBB;75;0
4;2024-08-14 06:45:34;2020-11-30;CH.1.1;Omicron;DEV;;BA.2.75;75;0
4;2024-08-14 06:45:34;2020-11-30;XBB;Omicron;DEV;VUM;Recombinants;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.2.86;Omicron;VOI;VUM;BA.2;75;0
4;2024-08-14 06:45:34;2020-11-30;JN.1;Omicron;VOI;VUM;BA.2.86;75;0
4;2024-08-14 06:45:34;2020-11-30;KP.2;Omicron;;VUM;JN.1;75;0
4;2024-08-14 06:45:34;2020-11-30;KP.3;Omicron;;VUM;JN.1;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.2;Omicron;DEV;;B.1.1.529;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.4;Omicron;DEV;;B.1.1.529;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.5;Omicron;DEV;;B.1.1.529;75;0
4;2024-08-14 06:45:34;2020-11-30;BQ.1;Omicron;DEV;;BA.5;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.2.3.20;Omicron;DEV;;BA.2;75;0
4;2024-08-14 06:45:34;2020-11-30;BF.7;Omicron;DEV;;BA.5;75;0
4;2024-08-14 06:45:34;2020-11-30;XBC;Omicron;DEV;;Recombinants;75;0
4;2024-08-14 06:45:34;2020-11-30;BN.1;Omicron;DEV;;BA.2.75;75;0
4;2024-08-14 06:45:34;2020-11-30;XAY;Omicron;DEV;;Recombinants;75;0
4;2024-08-14 06:45:34;2020-11-30;BQ.1.1;Omicron;;;BQ.1;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.4.6;Omicron;;;BA.4;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.3;Omicron;DEV;;B.1.1.529;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.2.12.1;Omicron;DEV;;BA.2+S:L452X;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.1;Omicron;DEV;;B.1.1.529;75;0
4;2024-08-14 06:45:34;2020-11-30;B.1.617.2;Delta;DEV;;;75;0
4;2024-08-14 06:45:34;2020-11-30;B.1.351;Beta;DEV;;;75;0
4;2024-08-14 06:45:34;2020-11-30;P.1;Gamma;DEV;;;75;0
4;2024-08-14 06:45:34;2020-11-30;B.1.1.7;Alpha;DEV;;;75;1
4;2024-08-14 06:45:34;2020-11-30;B.1.621;Mu;DEV;;;75;0
4;2024-08-14 06:45:34;2020-11-30;C.37;Lambda;DEV;;;75;0
4;2024-08-14 06:45:34;2020-11-30;BA.2+S:L452X;Omicron;DEV;;BA.2;75;0
4;2024-08-14 06:45:34;2020-11-30;XAK;Omicron;DEV;;Recombinants;75;0
4;2024-08-14 06:45:34;2020-11-30;XBF;Omicron;;;Recombinants;75;0
4;2024-08-14 06:45:34;2020-11-30;XBB.1.9;Omicron;DEV;VUM;XBB;75;0
4;2024-08-14 06:45:34;2020-12-07;Recombinants;Recombinants;;;;127;0
4;2024-08-14 06:45:34;2020-12-07;B.1.1.529;Omicron;;;;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.2.75;Omicron;VOI;;BA.2;127;0
4;2024-08-14 06:45:34;2020-12-07;XBB.1.5;Omicron;VOI;VOI;XBB;127;0
4;2024-08-14 06:45:34;2020-12-07;EG.5;Omicron;VOI;VOI;XBB.1.9;127;0
4;2024-08-14 06:45:34;2020-12-07;XBB.1.16;Omicron;VUM;VOI;XBB;127;0
4;2024-08-14 06:45:34;2020-12-07;CH.1.1;Omicron;DEV;;BA.2.75;127;0
4;2024-08-14 06:45:34;2020-12-07;XBB;Omicron;DEV;VUM;Recombinants;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.2.86;Omicron;VOI;VUM;BA.2;127;0
4;2024-08-14 06:45:34;2020-12-07;JN.1;Omicron;VOI;VUM;BA.2.86;127;0
4;2024-08-14 06:45:34;2020-12-07;KP.2;Omicron;;VUM;JN.1;127;0
4;2024-08-14 06:45:34;2020-12-07;KP.3;Omicron;;VUM;JN.1;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.2;Omicron;DEV;;B.1.1.529;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.4;Omicron;DEV;;B.1.1.529;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.5;Omicron;DEV;;B.1.1.529;127;0
4;2024-08-14 06:45:34;2020-12-07;BQ.1;Omicron;DEV;;BA.5;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.2.3.20;Omicron;DEV;;BA.2;127;0
4;2024-08-14 06:45:34;2020-12-07;BF.7;Omicron;DEV;;BA.5;127;0
4;2024-08-14 06:45:34;2020-12-07;XBC;Omicron;DEV;;Recombinants;127;0
4;2024-08-14 06:45:34;2020-12-07;BN.1;Omicron;DEV;;BA.2.75;127;0
4;2024-08-14 06:45:34;2020-12-07;XAY;Omicron;DEV;;Recombinants;127;0
4;2024-08-14 06:45:34;2020-12-07;BQ.1.1;Omicron;;;BQ.1;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.4.6;Omicron;;;BA.4;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.3;Omicron;DEV;;B.1.1.529;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.2.12.1;Omicron;DEV;;BA.2+S:L452X;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.1;Omicron;DEV;;B.1.1.529;127;0
4;2024-08-14 06:45:34;2020-12-07;B.1.617.2;Delta;DEV;;;127;0
4;2024-08-14 06:45:34;2020-12-07;B.1.351;Beta;DEV;;;127;0
4;2024-08-14 06:45:34;2020-12-07;P.1;Gamma;DEV;;;127;0
4;2024-08-14 06:45:34;2020-12-07;B.1.1.7;Alpha;DEV;;;127;1
4;2024-08-14 06:45:34;2020-12-07;B.1.621;Mu;DEV;;;127;0
4;2024-08-14 06:45:34;2020-12-07;C.37;Lambda;DEV;;;127;0
4;2024-08-14 06:45:34;2020-12-07;BA.2+S:L452X;Omicron;DEV;;BA.2;127;0
4;2024-08-14 06:45:34;2020-12-07;XAK;Omicron;DEV;;Recombinants;127;0
4;2024-08-14 06:45:34;2020-12-07;XBF;Omicron;;;Recombinants;127;0
4;2024-08-14 06:45:34;2020-12-07;XBB.1.9;Omicron;DEV;VUM;XBB;127;0
4;2024-08-14 06:45:34;2020-12-14;Recombinants;Recombinants;;;;203;0
4;2024-08-14 06:45:34;2020-12-14;B.1.1.529;Omicron;;;;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.2.75;Omicron;VOI;;BA.2;203;0
4;2024-08-14 06:45:34;2020-12-14;XBB.1.5;Omicron;VOI;VOI;XBB;203;0
4;2024-08-14 06:45:34;2020-12-14;EG.5;Omicron;VOI;VOI;XBB.1.9;203;0
4;2024-08-14 06:45:34;2020-12-14;XBB.1.16;Omicron;VUM;VOI;XBB;203;0
4;2024-08-14 06:45:34;2020-12-14;CH.1.1;Omicron;DEV;;BA.2.75;203;0
4;2024-08-14 06:45:34;2020-12-14;XBB;Omicron;DEV;VUM;Recombinants;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.2.86;Omicron;VOI;VUM;BA.2;203;0
4;2024-08-14 06:45:34;2020-12-14;JN.1;Omicron;VOI;VUM;BA.2.86;203;0
4;2024-08-14 06:45:34;2020-12-14;KP.2;Omicron;;VUM;JN.1;203;0
4;2024-08-14 06:45:34;2020-12-14;KP.3;Omicron;;VUM;JN.1;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.2;Omicron;DEV;;B.1.1.529;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.4;Omicron;DEV;;B.1.1.529;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.5;Omicron;DEV;;B.1.1.529;203;0
4;2024-08-14 06:45:34;2020-12-14;BQ.1;Omicron;DEV;;BA.5;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.2.3.20;Omicron;DEV;;BA.2;203;0
4;2024-08-14 06:45:34;2020-12-14;BF.7;Omicron;DEV;;BA.5;203;0
4;2024-08-14 06:45:34;2020-12-14;XBC;Omicron;DEV;;Recombinants;203;0
4;2024-08-14 06:45:34;2020-12-14;BN.1;Omicron;DEV;;BA.2.75;203;0
4;2024-08-14 06:45:34;2020-12-14;XAY;Omicron;DEV;;Recombinants;203;0
4;2024-08-14 06:45:34;2020-12-14;BQ.1.1;Omicron;;;BQ.1;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.4.6;Omicron;;;BA.4;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.3;Omicron;DEV;;B.1.1.529;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.2.12.1;Omicron;DEV;;BA.2+S:L452X;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.1;Omicron;DEV;;B.1.1.529;203;0
4;2024-08-14 06:45:34;2020-12-14;B.1.617.2;Delta;DEV;;;203;0
4;2024-08-14 06:45:34;2020-12-14;B.1.351;Beta;DEV;;;203;0
4;2024-08-14 06:45:34;2020-12-14;P.1;Gamma;DEV;;;203;0
4;2024-08-14 06:45:34;2020-12-14;B.1.1.7;Alpha;DEV;;;203;1
4;2024-08-14 06:45:34;2020-12-14;B.1.621;Mu;DEV;;;203;0
4;2024-08-14 06:45:34;2020-12-14;C.37;Lambda;DEV;;;203;0
4;2024-08-14 06:45:34;2020-12-14;BA.2+S:L452X;Omicron;DEV;;BA.2;203;0
4;2024-08-14 06:45:34;2020-12-14;XAK;Omicron;DEV;;Recombinants;203;0
4;2024-08-14 06:45:34;2020-12-14;XBF;Omicron;;;Recombinants;203;0
4;2024-08-14 06:45:34;2020-12-14;XBB.1.9;Omicron;DEV;VUM;XBB;203;0
4;2024-08-14 06:45:34;2020-12-21;Recombinants;Recombinants;;;;257;0
4;2024-08-14 06:45:34;2020-12-21;B.1.1.529;Omicron;;;;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.2.75;Omicron;VOI;;BA.2;257;0
4;2024-08-14 06:45:34;2020-12-21;XBB.1.5;Omicron;VOI;VOI;XBB;257;0
4;2024-08-14 06:45:34;2020-12-21;EG.5;Omicron;VOI;VOI;XBB.1.9;257;0
4;2024-08-14 06:45:34;2020-12-21;XBB.1.16;Omicron;VUM;VOI;XBB;257;0
4;2024-08-14 06:45:34;2020-12-21;CH.1.1;Omicron;DEV;;BA.2.75;257;0
4;2024-08-14 06:45:34;2020-12-21;XBB;Omicron;DEV;VUM;Recombinants;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.2.86;Omicron;VOI;VUM;BA.2;257;0
4;2024-08-14 06:45:34;2020-12-21;JN.1;Omicron;VOI;VUM;BA.2.86;257;0
4;2024-08-14 06:45:34;2020-12-21;KP.2;Omicron;;VUM;JN.1;257;0
4;2024-08-14 06:45:34;2020-12-21;KP.3;Omicron;;VUM;JN.1;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.2;Omicron;DEV;;B.1.1.529;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.4;Omicron;DEV;;B.1.1.529;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.5;Omicron;DEV;;B.1.1.529;257;0
4;2024-08-14 06:45:34;2020-12-21;BQ.1;Omicron;DEV;;BA.5;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.2.3.20;Omicron;DEV;;BA.2;257;0
4;2024-08-14 06:45:34;2020-12-21;BF.7;Omicron;DEV;;BA.5;257;0
4;2024-08-14 06:45:34;2020-12-21;XBC;Omicron;DEV;;Recombinants;257;0
4;2024-08-14 06:45:34;2020-12-21;BN.1;Omicron;DEV;;BA.2.75;257;0
4;2024-08-14 06:45:34;2020-12-21;XAY;Omicron;DEV;;Recombinants;257;0
4;2024-08-14 06:45:34;2020-12-21;BQ.1.1;Omicron;;;BQ.1;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.4.6;Omicron;;;BA.4;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.3;Omicron;DEV;;B.1.1.529;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.2.12.1;Omicron;DEV;;BA.2+S:L452X;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.1;Omicron;DEV;;B.1.1.529;257;0
4;2024-08-14 06:45:34;2020-12-21;B.1.617.2;Delta;DEV;;;257;0
4;2024-08-14 06:45:34;2020-12-21;B.1.351;Beta;DEV;;;257;1
4;2024-08-14 06:45:34;2020-12-21;P.1;Gamma;DEV;;;257;0
4;2024-08-14 06:45:34;2020-12-21;B.1.1.7;Alpha;DEV;;;257;5
4;2024-08-14 06:45:34;2020-12-21;B.1.621;Mu;DEV;;;257;0
4;2024-08-14 06:45:34;2020-12-21;C.37;Lambda;DEV;;;257;0
4;2024-08-14 06:45:34;2020-12-21;BA.2+S:L452X;Omicron;DEV;;BA.2;257;0
4;2024-08-14 06:45:34;2020-12-21;XAK;Omicron;DEV;;Recombinants;257;0
4;2024-08-14 06:45:34;2020-12-21;XBF;Omicron;;;Recombinants;257;0
4;2024-08-14 06:45:34;2020-12-21;XBB.1.9;Omicron;DEV;VUM;XBB;257;0
4;2024-08-14 06:45:34;2020-12-28;Recombinants;Recombinants;;;;207;0
4;2024-08-14 06:45:34;2020-12-28;B.1.1.529;Omicron;;;;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.2.75;Omicron;VOI;;BA.2;207;0
4;2024-08-14 06:45:34;2020-12-28;XBB.1.5;Omicron;VOI;VOI;XBB;207;0
4;2024-08-14 06:45:34;2020-12-28;EG.5;Omicron;VOI;VOI;XBB.1.9;207;0
4;2024-08-14 06:45:34;2020-12-28;XBB.1.16;Omicron;VUM;VOI;XBB;207;0
4;2024-08-14 06:45:34;2020-12-28;CH.1.1;Omicron;DEV;;BA.2.75;207;0
4;2024-08-14 06:45:34;2020-12-28;XBB;Omicron;DEV;VUM;Recombinants;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.2.86;Omicron;VOI;VUM;BA.2;207;0
4;2024-08-14 06:45:34;2020-12-28;JN.1;Omicron;VOI;VUM;BA.2.86;207;0
4;2024-08-14 06:45:34;2020-12-28;KP.2;Omicron;;VUM;JN.1;207;0
4;2024-08-14 06:45:34;2020-12-28;KP.3;Omicron;;VUM;JN.1;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.2;Omicron;DEV;;B.1.1.529;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.4;Omicron;DEV;;B.1.1.529;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.5;Omicron;DEV;;B.1.1.529;207;0
4;2024-08-14 06:45:34;2020-12-28;BQ.1;Omicron;DEV;;BA.5;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.2.3.20;Omicron;DEV;;BA.2;207;0
4;2024-08-14 06:45:34;2020-12-28;BF.7;Omicron;DEV;;BA.5;207;0
4;2024-08-14 06:45:34;2020-12-28;XBC;Omicron;DEV;;Recombinants;207;0
4;2024-08-14 06:45:34;2020-12-28;BN.1;Omicron;DEV;;BA.2.75;207;0
4;2024-08-14 06:45:34;2020-12-28;XAY;Omicron;DEV;;Recombinants;207;0
4;2024-08-14 06:45:34;2020-12-28;BQ.1.1;Omicron;;;BQ.1;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.4.6;Omicron;;;BA.4;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.3;Omicron;DEV;;B.1.1.529;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.2.12.1;Omicron;DEV;;BA.2+S:L452X;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.1;Omicron;DEV;;B.1.1.529;207;0
4;2024-08-14 06:45:34;2020-12-28;B.1.617.2;Delta;DEV;;;207;0
4;2024-08-14 06:45:34;2020-12-28;B.1.351;Beta;DEV;;;207;1
4;2024-08-14 06:45:34;2020-12-28;P.1;Gamma;DEV;;;207;0
4;2024-08-14 06:45:34;2020-12-28;B.1.1.7;Alpha;DEV;;;207;9
4;2024-08-14 06:45:34;2020-12-28;B.1.621;Mu;DEV;;;207;0
4;2024-08-14 06:45:34;2020-12-28;C.37;Lambda;DEV;;;207;0
4;2024-08-14 06:45:34;2020-12-28;BA.2+S:L452X;Omicron;DEV;;BA.2;207;0
4;2024-08-14 06:45:34;2020-12-28;XAK;Omicron;DEV;;Recombinants;207;0
4;2024-08-14 06:45:34;2020-12-28;XBF;Omicron;;;Recombinants;207;0
4;2024-08-14 06:45:34;2020-12-28;XBB.1.9;Omicron;DEV;VUM;XBB;207;0
4;2024-08-14 06:45:34;2021-01-04;Recombinants;Recombinants;;;;356;0
4;2024-08-14 06:45:34;2021-01-04;B.1.1.529;Omicron;;;;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.2.75;Omicron;VOI;;BA.2;356;0
4;2024-08-14 06:45:34;2021-01-04;XBB.1.5;Omicron;VOI;VOI;XBB;356;0
4;2024-08-14 06:45:34;2021-01-04;EG.5;Omicron;VOI;VOI;XBB.1.9;356;0
4;2024-08-14 06:45:34;2021-01-04;XBB.1.16;Omicron;VUM;VOI;XBB;356;0
4;2024-08-14 06:45:34;2021-01-04;CH.1.1;Omicron;DEV;;BA.2.75;356;0
4;2024-08-14 06:45:34;2021-01-04;XBB;Omicron;DEV;VUM;Recombinants;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.2.86;Omicron;VOI;VUM;BA.2;356;0
4;2024-08-14 06:45:34;2021-01-04;JN.1;Omicron;VOI;VUM;BA.2.86;356;0
4;2024-08-14 06:45:34;2021-01-04;KP.2;Omicron;;VUM;JN.1;356;0
4;2024-08-14 06:45:34;2021-01-04;KP.3;Omicron;;VUM;JN.1;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.2;Omicron;DEV;;B.1.1.529;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.4;Omicron;DEV;;B.1.1.529;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.5;Omicron;DEV;;B.1.1.529;356;0
4;2024-08-14 06:45:34;2021-01-04;BQ.1;Omicron;DEV;;BA.5;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.2.3.20;Omicron;DEV;;BA.2;356;0
4;2024-08-14 06:45:34;2021-01-04;BF.7;Omicron;DEV;;BA.5;356;0
4;2024-08-14 06:45:34;2021-01-04;XBC;Omicron;DEV;;Recombinants;356;0
4;2024-08-14 06:45:34;2021-01-04;BN.1;Omicron;DEV;;BA.2.75;356;0
4;2024-08-14 06:45:34;2021-01-04;XAY;Omicron;DEV;;Recombinants;356;0
4;2024-08-14 06:45:34;2021-01-04;BQ.1.1;Omicron;;;BQ.1;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.4.6;Omicron;;;BA.4;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.3;Omicron;DEV;;B.1.1.529;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.2.12.1;Omicron;DEV;;BA.2+S:L452X;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.1;Omicron;DEV;;B.1.1.529;356;0
4;2024-08-14 06:45:34;2021-01-04;B.1.617.2;Delta;DEV;;;356;0
4;2024-08-14 06:45:34;2021-01-04;B.1.351;Beta;DEV;;;356;0
4;2024-08-14 06:45:34;2021-01-04;P.1;Gamma;DEV;;;356;0
4;2024-08-14 06:45:34;2021-01-04;B.1.1.7;Alpha;DEV;;;356;45
4;2024-08-14 06:45:34;2021-01-04;B.1.621;Mu;DEV;;;356;0
4;2024-08-14 06:45:34;2021-01-04;C.37;Lambda;DEV;;;356;0
4;2024-08-14 06:45:34;2021-01-04;BA.2+S:L452X;Omicron;DEV;;BA.2;356;0
4;2024-08-14 06:45:34;2021-01-04;XAK;Omicron;DEV;;Recombinants;356;0
4;2024-08-14 06:45:34;2021-01-04;XBF;Omicron;;;Recombinants;356;0
