"concat","index_thuisblijvers","index_rondje","index_supermarkt","index_kantoor","index_zorg","maand"
"2020-10",100,100,100,100,100,"mar-20"
"2020-11",110,109,103,91,85,"mar-20"
"2020-12",138,150,90,62,46,"mar-20"
"2020-13",151,157,78,54,38,"mar-20"
"2020-14",145,158,78,56,37,"mar-20"
"2020-15",138,154,82,56,40,"apr-20"
"2020-16",144,153,74,52,39,"apr-20"
"2020-17",132,149,85,58,41,"apr-20"
"2020-18",139,142,85,51,41,"apr-20"
"2020-19",127,136,90,52,50,"mei-20"
"2020-20",124,138,89,65,63,"mei-20"
"2020-21",122,130,95,54,61,"mei-20"
"2020-22",113,136,96,67,64,"mei-20"
"2020-23",123,123,86,59,58,"jun-20"
"2020-24",115,129,89,68,66,"jun-20"
"2020-25",108,125,90,68,76,"jun-20"
"2020-26",103,122,97,71,76,"jun-20"
"2020-27",104,123,95,73,80,"jun-20"
"2020-28",101,117,99,71,83,"jul-20"
"2020-29",102,109,97,68,84,"jul-20"
"2020-30",105,112,97,61,81,"jul-20"
"2020-31",108,104,98,59,75,"jul-20"
"2020-32",109,104,110,61,74,"aug-20"
"2020-33",112,94,111,61,75,"aug-20"
"2020-34",106,109,110,65,82,"aug-20"
"2020-35",112,111,109,68,84,"aug-20"
"2020-36",104,117,112,71,86,"aug-20"
"2020-37",99,120,110,73,86,"sep-20"
"2020-38",93,119,114,73,91,"sep-20"
"2020-39",99,123,115,76,89,"sep-20"
"2020-40",105,126,113,72,85,"sep-20"
"2020-41",109,129,109,69,88,"okt-20"
"2020-42",123,137,91,64,79,"okt-20"
"2020-43",137,129,80,59,65,"okt-20"
"2020-44",136,124,82,66,68,"okt-20"
"2020-45",131,136,81,65,71,"nov-20"
"2020-46",136,131,83,65,71,"nov-20"
"2020-47",132,133,83,68,67,"nov-20"
"2020-48",130,135,83,68,78,"nov-20"
"2020-49",110,128,102,75,86,"nov-20"
"2020-50",108,131,107,76,93,"dec-20"
"2020-51",114,150,110,72,93,"dec-20"
"2020-52",140,130,90,48,64,"dec-20"
"2020-53",129,146,100,41,59,"dec-20"
"2021-1",124,151,98,68,81,"jan-21"
